program_change channel=0 program=0 time=0
note_on channel=0 note=72 velocity=48 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=72 velocity=0 time=0.00170068125
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=50 velocity=61 time=0
control_change channel=0 control=64 value=0 time=0.01530613125
control_change channel=0 control=64 value=127 time=0.1190476875
note_on channel=0 note=57 velocity=57 time=0.06972793125
note_on channel=0 note=62 velocity=56 time=0.20408175
note_on channel=0 note=62 velocity=0 time=0.00166666666667
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=66 velocity=0 time=0.2
note_on channel=0 note=72 velocity=63 time=0
note_on channel=0 note=72 velocity=0 time=0.18
note_on channel=0 note=62 velocity=50 time=0.02
note_on channel=0 note=62 velocity=0 time=0.2
note_on channel=0 note=66 velocity=47 time=0
note_on channel=0 note=66 velocity=0 time=0.2
note_on channel=0 note=72 velocity=47 time=0
note_on channel=0 note=72 velocity=0 time=0.00170068125
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=50 velocity=0 time=0
note_on channel=0 note=50 velocity=62 time=0
note_on channel=0 note=57 velocity=57 time=0.20408175
note_on channel=0 note=62 velocity=56 time=0.20408175
note_on channel=0 note=62 velocity=0 time=0.00165562916667
note_on channel=0 note=66 velocity=60 time=0
note_on channel=0 note=66 velocity=0 time=0.1986755
note_on channel=0 note=72 velocity=62 time=0
note_on channel=0 note=72 velocity=0 time=0.17880795
note_on channel=0 note=62 velocity=50 time=0.01986755
note_on channel=0 note=62 velocity=0 time=0.1986755
note_on channel=0 note=66 velocity=48 time=0
note_on channel=0 note=66 velocity=0 time=0.0017241375
note_on channel=0 note=72 velocity=48 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=72 velocity=0 time=0.00165562916667
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=50 velocity=0 time=0
note_on channel=0 note=55 velocity=57 time=0
control_change channel=0 control=64 value=0 time=0.0132450333333
control_change channel=0 control=64 value=127 time=0.149006625
note_on channel=0 note=59 velocity=55 time=0.0364238416667
note_on channel=0 note=62 velocity=53 time=0.1986755
note_on channel=0 note=62 velocity=0 time=0.1986755
note_on channel=0 note=67 velocity=56 time=0
note_on channel=0 note=67 velocity=0 time=0.0016339875
note_on channel=0 note=71 velocity=60 time=0
note_on channel=0 note=71 velocity=0 time=0.17647065
note_on channel=0 note=62 velocity=46 time=0.01960785
note_on channel=0 note=62 velocity=0 time=0.1960785
note_on channel=0 note=67 velocity=45 time=0
note_on channel=0 note=67 velocity=0 time=0.1960785
note_on channel=0 note=71 velocity=45 time=0
note_on channel=0 note=71 velocity=0 time=0.00165562916667
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=55 velocity=58 time=0
note_on channel=0 note=59 velocity=55 time=0.1986755
note_on channel=0 note=62 velocity=53 time=0.1986755
note_on channel=0 note=62 velocity=0 time=0.1986755
note_on channel=0 note=67 velocity=56 time=0
note_on channel=0 note=67 velocity=0 time=0.00162337708333
note_on channel=0 note=71 velocity=58 time=0
note_on channel=0 note=71 velocity=0 time=0.175324725
note_on channel=0 note=62 velocity=47 time=0.019480525
note_on channel=0 note=62 velocity=0 time=0.19480525
note_on channel=0 note=67 velocity=45 time=0
note_on channel=0 note=67 velocity=0 time=0.19480525
note_on channel=0 note=71 velocity=45 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=71 velocity=0 time=0.00165562916667
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=55 velocity=57 time=0
control_change channel=0 control=64 value=0 time=0.009933775
control_change channel=0 control=64 value=127 time=0.13907285
note_on channel=0 note=58 velocity=55 time=0.049668875
note_on channel=0 note=64 velocity=53 time=0.1986755
note_on channel=0 note=64 velocity=0 time=0.1986755
note_on channel=0 note=67 velocity=56 time=0
note_on channel=0 note=67 velocity=0 time=0.00162337708333
note_on channel=0 note=73 velocity=60 time=0
note_on channel=0 note=73 velocity=0 time=0.175324725
note_on channel=0 note=64 velocity=46 time=0.019480525
note_on channel=0 note=64 velocity=0 time=0.19480525
note_on channel=0 note=67 velocity=45 time=0
note_on channel=0 note=67 velocity=0 time=0.0017241375
note_on channel=0 note=73 velocity=45 time=0
note_on channel=0 note=73 velocity=0 time=0.00165562916667
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=55 velocity=58 time=0
note_on channel=0 note=58 velocity=55 time=0.1986755
note_on channel=0 note=64 velocity=53 time=0.1986755
note_on channel=0 note=64 velocity=0 time=0.1986755
note_on channel=0 note=67 velocity=56 time=0
note_on channel=0 note=67 velocity=0 time=0.1986755
note_on channel=0 note=73 velocity=58 time=0
note_on channel=0 note=73 velocity=0 time=0.1454248875
note_on channel=0 note=64 velocity=47 time=0.01960785
note_on channel=0 note=64 velocity=0 time=0.1960785
note_on channel=0 note=67 velocity=45 time=0
note_on channel=0 note=67 velocity=0 time=0.00171232916667
note_on channel=0 note=73 velocity=45 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=73 velocity=0 time=0.00173611041667
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=53 velocity=61 time=0
control_change channel=0 control=64 value=0 time=0.020833325
note_on channel=0 note=57 velocity=57 time=0.00165562916667
control_change channel=0 control=64 value=127 time=0.0331125833333
note_on channel=0 note=62 velocity=56 time=0.165562916667
note_on channel=0 note=62 velocity=0 time=0.1986755
note_on channel=0 note=69 velocity=60 time=0
note_on channel=0 note=69 velocity=0 time=0.0016339875
note_on channel=0 note=74 velocity=63 time=0
note_on channel=0 note=74 velocity=0 time=0.17647065
note_on channel=0 note=62 velocity=50 time=0.01960785
note_on channel=0 note=62 velocity=0 time=0.1960785
note_on channel=0 note=69 velocity=47 time=0
note_on channel=0 note=69 velocity=0 time=0.1960785
note_on channel=0 note=74 velocity=47 time=0
note_on channel=0 note=74 velocity=0 time=0.00165562916667
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=53 velocity=62 time=0
note_on channel=0 note=57 velocity=57 time=0.1986755
note_on channel=0 note=62 velocity=56 time=0.1986755
note_on channel=0 note=62 velocity=0 time=0.1986755
note_on channel=0 note=69 velocity=60 time=0
note_on channel=0 note=69 velocity=0 time=0.0016339875
note_on channel=0 note=74 velocity=62 time=0
note_on channel=0 note=74 velocity=0 time=0.17647065
note_on channel=0 note=62 velocity=50 time=0.01960785
note_on channel=0 note=62 velocity=0 time=0.1960785
note_on channel=0 note=69 velocity=48 time=0
note_on channel=0 note=69 velocity=0 time=0.00173611041667
note_on channel=0 note=74 velocity=48 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=74 velocity=0 time=0.00166666666667
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=53 velocity=57 time=0
control_change channel=0 control=64 value=0 time=0.0133333333333
note_on channel=0 note=56 velocity=55 time=0.186666666667
control_change channel=0 control=64 value=127 time=0.0333333333333
note_on channel=0 note=62 velocity=53 time=0.166666666667
note_on channel=0 note=62 velocity=0 time=0.2
note_on channel=0 note=65 velocity=56 time=0
note_on channel=0 note=65 velocity=0 time=0.0016339875
note_on channel=0 note=71 velocity=60 time=0
note_on channel=0 note=71 velocity=0 time=0.17647065
note_on channel=0 note=62 velocity=46 time=0.01960785
note_on channel=0 note=62 velocity=0 time=0.1960785
note_on channel=0 note=65 velocity=45 time=0
note_on channel=0 note=65 velocity=0 time=0.1960785
note_on channel=0 note=71 velocity=45 time=0
note_on channel=0 note=71 velocity=0 time=0.00166666666667
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=53 velocity=58 time=0
note_on channel=0 note=56 velocity=55 time=0.2
note_on channel=0 note=62 velocity=53 time=0.2
note_on channel=0 note=62 velocity=0 time=0.2
note_on channel=0 note=65 velocity=56 time=0
note_on channel=0 note=65 velocity=0 time=0.0016339875
note_on channel=0 note=71 velocity=58 time=0
note_on channel=0 note=71 velocity=0 time=0.17647065
note_on channel=0 note=62 velocity=47 time=0.01960785
note_on channel=0 note=62 velocity=0 time=0.1960785
note_on channel=0 note=65 velocity=45 time=0
note_on channel=0 note=65 velocity=0 time=0.00171232916667
note_on channel=0 note=71 velocity=45 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=71 velocity=0 time=0.00166666666667
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=52 velocity=57 time=0
control_change channel=0 control=64 value=0 time=0.0216666666667
note_on channel=0 note=55 velocity=55 time=0.178333333333
control_change channel=0 control=64 value=127 time=0.045
note_on channel=0 note=60 velocity=53 time=0.155
note_on channel=0 note=60 velocity=0 time=0.00165562916667
note_on channel=0 note=67 velocity=56 time=0
note_on channel=0 note=67 velocity=0 time=0.00161290416667
note_on channel=0 note=72 velocity=60 time=0
note_on channel=0 note=72 velocity=0 time=0.17419365
note_on channel=0 note=60 velocity=46 time=0.01935485
note_on channel=0 note=60 velocity=0 time=0.1935485
note_on channel=0 note=67 velocity=45 time=0
note_on channel=0 note=67 velocity=0 time=0.1935485
note_on channel=0 note=72 velocity=45 time=0
note_on channel=0 note=72 velocity=0 time=0.00165562916667
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=52 velocity=58 time=0
note_on channel=0 note=55 velocity=55 time=0.1986755
note_on channel=0 note=60 velocity=53 time=0.1986755
note_on channel=0 note=60 velocity=0 time=0.1986755
note_on channel=0 note=67 velocity=56 time=0
note_on channel=0 note=67 velocity=0 time=0.00162337708333
note_on channel=0 note=72 velocity=58 time=0
note_on channel=0 note=72 velocity=0 time=0.175324725
note_on channel=0 note=60 velocity=47 time=0.019480525
note_on channel=0 note=60 velocity=0 time=0.19480525
note_on channel=0 note=67 velocity=45 time=0
note_on channel=0 note=67 velocity=0 time=0.0017605625
note_on channel=0 note=72 velocity=45 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=72 velocity=0 time=0.00167785208333
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=52 velocity=55 time=0
control_change channel=0 control=64 value=0 time=0.01510066875
note_on channel=0 note=53 velocity=51 time=0.18624158125
control_change channel=0 control=64 value=127 time=0.0922818645833
note_on channel=0 note=57 velocity=50 time=0.109060385417
note_on channel=0 note=57 velocity=0 time=0.20134225
note_on channel=0 note=60 velocity=53 time=0
note_on channel=0 note=60 velocity=0 time=0.0016339875
note_on channel=0 note=65 velocity=56 time=0
note_on channel=0 note=65 velocity=0 time=0.17647065
note_on channel=0 note=57 velocity=45 time=0.01960785
note_on channel=0 note=57 velocity=0 time=0.1960785
note_on channel=0 note=60 velocity=42 time=0
note_on channel=0 note=60 velocity=0 time=0.1960785
note_on channel=0 note=65 velocity=42 time=0
note_on channel=0 note=65 velocity=0 time=0.00167785208333
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=52 velocity=55 time=0
